,player_name,position,season,fantasy_points_ppr,passing_yards,passing_tds,interceptions,rushing_yards,rushing_tds,receptions,targets,receiving_yards,receiving_tds,tgt_sh,ay_sh,wopr_y,dom
1395,Deven Thompkins,WR,2023,34.9,0.0,0,0.0,56.0,0,17,25,83.0,1,0.0623441396508728,0.0455689124965054,0.1299713394735135,0.0420096021947873
1396,Deven Thompkins,WR,2024,6.7,0.0,0,0.0,7.0,0,4,4,20.0,0,0.0330578512396694,-0.0076997112608277,0.0434270078508419,0.0127713920817369
1397,J.J. Russell,LB,2024,6.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
1399,Cole Fotheringham,TE,2023,1.6,0.0,0,0.0,0.0,0,1,1,6.0,0,0.0476190476190476,0.0063694267515923,0.0765241128298453,0.0
1400,Sincere McCormick,RB,2024,27.200000000000003,0.0,0,0.0,183.0,0,6,7,29.0,0,0.0426829268292682,0.0024489795918367,0.0659835739173718,0.0134135060129509
1401,Tay Martin,WR,2024,11.9,0.0,0,0.0,0.0,0,1,2,49.0,1,0.0769230769230769,0.2107023411371237,0.2839464882943144,0.6
1402,Jordan Mason,RB,2022,31.8,0.0,0,0.0,258.0,1,0,0,0.0,0,0.0,0.0,0.0,0.0
1403,Jordan Mason,RB,2023,44.7,0.0,0,0.0,206.0,3,3,4,31.0,0,0.016260162601626,0.0057915057915057,0.0290234485356436,0.0066409597257926
1404,Jordan Mason,RB,2024,115.0,0.0,0,0.0,789.0,3,11,14,91.0,0,0.0396600566572237,0.0173391130376792,0.073361375415979,0.0156572608396421
1405,Lucas Krull,TE,2023,23.5,0.0,0,0.0,0.0,0,8,14,95.0,1,0.0627802690582959,0.0771909460243761,0.1559231604069448,0.0804487179487179
1406,Lucas Krull,TE,2024,34.2,0.0,0,0.0,0.0,0,19,23,152.0,0,0.0701219512195122,0.0481829318089015,0.1437292722763895,0.0338228749443702
1407,Rashid Shaheed,WR,2022,100.5,0.0,0,0.0,57.0,1,28,34,488.0,2,0.10828025477707,0.1579785117389574,0.288803191556771,0.1623772001637331
1408,Rashid Shaheed,WR,2023,157.6,0.0,0,0.0,37.0,0,46,75,719.0,5,0.1361161524500907,0.23511712873415,0.3922679316624561,0.1936441781713988
1409,Rashid Shaheed,WR,2024,81.80000000000001,0.0,0,0.0,29.0,0,20,41,349.0,3,0.2329545454545454,0.5034916201117319,0.7522251142712038,0.306378436082199
1410,Ronnie Rivers,RB,2022,10.0,0.0,0,0.0,21.0,0,5,5,29.0,0,0.0757575757575757,-0.0915492957746478,0.0403969270166453,0.0329545454545454
1411,Ronnie Rivers,RB,2023,20.1,0.0,0,0.0,129.0,0,5,5,22.0,0,0.0201612903225806,-0.0102591792656587,0.0220345920713439,0.0058448459086078
1412,Ronnie Rivers,RB,2024,18.3,0.0,0,0.0,99.0,0,5,6,34.0,0,0.0348837209302325,-0.0222602739726027,0.0345173622172666,0.0129573170731707
1413,Malik Davis,RB,2022,34.4,0.0,0,0.0,161.0,1,6,7,63.0,0,0.0330188679245283,-0.0044416243654822,0.0459750023944066,0.0224679029957204
